election_law_0_option;None;Rien;;;;;;;;;;;;x
election_law_0_desc;Our country regards government without the consent of the governed to be illegitimate, but our current constitution does not permit elections of any sort. We should rectify this immediately, or risk revolution.;Notre pays considËre que gourvener sans le consentement des gouvernÈs est illÈgitime, mais notre constitution actuelle ne nous permet pas d'organiser des ÈlÈctions. Nous devons remÈdier ‡ cette situation immÈdiatement ou nous risquons la rÈvolution.;;;;;;;;;;;;x
election_law_1;Popular Vote;Vote populaire;;;;;;;;;;;;x
election_law_1_option;Free;Libre;;;;;;;;;;;;x
election_law_1_desc;Each ruler is elected by popular vote, and the voting process is carefully protected from meddling by the rich and powerful.;Chaque dirigeant est Èlu par vote populaire, et le processus de vote est soigneusement protÈgÈ contre l'ingÈrences des riches et puissants.;;;;;;;;;;;;x
election_law_2;Oligarchy;Oligarchie;;;;;;;;;;;;x
election_law_2_option;Semi-Free;Semi-libre;;;;;;;;;;;;x
election_law_2_desc;The ruler is nominally elected by popular vote, but active intervention and campaigning means that in practice, the government is monopolized by a few wealthy families.;Le dirigeant est thÈoriquement Èlu par vote populaire, mais un interventionisme actif et des campagnes de pressions signifient que dans la pratique, le gouvernement est monopolisÈ par quelques familles aisÈes.;;;;;;;;;;;;x
election_law_3;Federal Elective;FÈdÈration ÈlÈctive;;;;;;;;;;;;x
election_law_3_option;Federal;FÈdÈral;;;;;;;;;;;;x
election_law_3_desc;The ruler is elected by a federal council, consisting of both regional governors and the previous ruler.;Le dirigeant est Èlu par un conseil fÈdÈral, composÈ ‡ la fois des gouverneurs rÈgionaux et du prÈcÈdent dirigeant.;;;;;;;;;;;;x
election_law_4;Dynastic Elections;ElÈctions dynastiques;;;;;;;;;;;;x
election_law_4_option;The ruler is elected by a federal council, but candidacy is restricted to members of a specific family.;Le dirigeant est Èlu par un conseil fÈdÈral, mais les candidatures sont rÈservÈes aux membres d'une famille spÈcifique.;;;;;;;;;;;;x
local_election_law;Election Law;Lois Èlectorales;;;;;;;;;;;;x
local_election_law_desc;The process by which the state's leaders are elected.;Le processus par lequel les dirigeants des Ètats sont Èlus.;;;;;;;;;;;;x
local_election_law_0;No Elections;Pas d'ÈlÈction;;;;;;;;;;;;x
local_election_law_0_option;None;Rien;;;;;;;;;;;;x
local_election_law_0_desc;Our country regards government without the consent of the governed to be illegitimate, but our current constitution does not permit elections of any sort. We should rectify this immediately, or risk revolution.;Notre pays considËre que gourvener sans le consentement des gouvernÈs est illÈgitime, mais notre constitution actuelle ne nous permet pas d'organiser des ÈlÈctions. Nous devons remÈdier ÅEcette situation immÈdiatement ou nous risquons la rÈvolution.;;;;;;;;;;;;x
local_election_law_1;Popular Vote;Vote populaire;;;;;;;;;;;;x
local_election_law_1_option;Free;Libre;;;;;;;;;;;;x
local_election_law_1_desc;Each ruler is elected by popular vote, and the voting process is carefully protected from meddling by the rich and powerful.;Chaque dirigeant est Èlu par vote populaire, et le processus de vote est soigneusement protÈgÅEcontre l'ingÈrences des riches et puissants.;;;;;;;;;;;;x
local_election_law_2;Oligarchy;Oligarchie;;;;;;;;;;;;x
local_election_law_2_option;Semi-Free;Semi-libre;;;;;;;;;;;;x
local_election_law_2_desc;The ruler is nominally elected by popular vote, but active intervention and campaigning means that in practice, the government is monopolized by a few wealthy families.;Le dirigeant est thÈoriquement Èlu par vote populaire, mais un interventionisme actif et des campagnes de pressions signifient que dans la pratique, le gouvernement est monopolisÅEpar quelques familles aisÈes.;;;;;;;;;;;;x
local_election_law_3;Federal Elective;FÈdÈration ÈlÈctive;;;;;;;;;;;;x
local_election_law_3_option;Federal;FÈdÈral;;;;;;;;;;;;x
local_election_law_3_desc;The ruler is elected by a federal council, consisting of both regional governors and the previous ruler.;Le dirigeant est Èlu par un conseil fÈdÈral, composÅEÅEla fois des gouverneurs rÈgionaux et du prÈcÈdent dirigeant.;;;;;;;;;;;;x
local_election_law_4;Dynastic Elections;ElÈctions dynastiques;;;;;;;;;;;;x
local_election_law_4_option;The ruler is elected by a federal council, but candidacy is restricted to members of a specific family.;Le dirigeant est Èlu par un conseil fÈdÈral, mais les candidatures sont rÈservÈes aux membres d'une famille spÈcifique.;;;;;;;;;;;;x
military_vassal_legitimacy;Military Government;;;;;;;;;;;;;x
military_vassal_legitimacy_desc;The general principles used to determine how military commands and offices are assigned.;;;;;;;;;;;;;x
military_vassal_legitimacy_0;Hereditary Officers;;;;;;;;;;;;;x
military_vassal_legitimacy_0_desc;Military commands are hereditary, and may be passed down from parent to child.;;;;;;;;;;;;;x
military_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
military_vassal_legitimacy_1;Elected Officers;;;;;;;;;;;;;x
military_vassal_legitimacy_1_desc;Military officers are elected from among their subordinates or by the citizens of the territory they defend.;;;;;;;;;;;;;x
military_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
military_vassal_legitimacy_2;Appointed Officers;;;;;;;;;;;;;x
military_vassal_legitimacy_2_desc;Military officers are appointed by their immediate superiors.;;;;;;;;;;;;;x
military_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
local_military_vassal_legitimacy;Military Government;;;;;;;;;;;;;x
local_military_vassal_legitimacy_desc;The general principles used to determine how military commands and offices are assigned.;;;;;;;;;;;;;x
local_military_vassal_legitimacy_0;Hereditary Officers;;;;;;;;;;;;;x
local_military_vassal_legitimacy_0_desc;Military commands are hereditary, and may be passed down from parent to child.;;;;;;;;;;;;;x
local_military_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
local_military_vassal_legitimacy_1;Elected Officers;;;;;;;;;;;;;x
local_military_vassal_legitimacy_1_desc;Military officers are elected from among their subordinates or by the citizens of the territory they defend.;;;;;;;;;;;;;x
local_military_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
local_military_vassal_legitimacy_2;Appointed Officers;;;;;;;;;;;;;x
local_military_vassal_legitimacy_2_desc;Military officers are appointed by their immediate superiors.;;;;;;;;;;;;;x
local_military_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
republic_vassal_legitimacy;Civilian Government;;;;;;;;;;;;;x
republic_vassal_legitimacy_desc;The general principles used to determine how local civilian governors are selected.;;;;;;;;;;;;;x
republic_vassal_legitimacy_0;Hereditary Governors;;;;;;;;;;;;;x
republic_vassal_legitimacy_0_desc;Local civilian governments are led by hereditary rulers.;;;;;;;;;;;;;x
republic_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
republic_vassal_legitimacy_1;Elected Governors;;;;;;;;;;;;;x
republic_vassal_legitimacy_1_desc;Local civilian governments are led by officials elected by the general population.;;;;;;;;;;;;;x
republic_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
republic_vassal_legitimacy_2;Appointed Governors;;;;;;;;;;;;;x
republic_vassal_legitimacy_2_desc;Local civilian governments are led by officials appointed by the central government.;;;;;;;;;;;;;x
republic_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
local_republic_vassal_legitimacy;Civilian Government;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_desc;The general principles used to determine how local civilian governors are selected.;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_0;Hereditary Governors;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_0_desc;Local civilian governments are led by hereditary rulers.;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_1;Elected Governors;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_1_desc;Local civilian governments are led by officials elected by the general population.;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_2;Appointed Governors;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_2_desc;Local civilian governments are led by officials appointed by the central government.;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
theocracy_vassal_legitimacy;Administrative Government;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_desc;The general principles used to determine how local administrators are selected.;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_0;Hereditary Administrators;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_0_desc;Administrative centers and shrine worlds are led by hereditary rulers.;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_1;Elected Administrators;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_1_desc;Administrative centers and shrine worlds are led by officials elected from among the local populace.;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_2;Appointed Administrators;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_2_desc;Administrative centers and shrine worlds are led by administrators or priests appointed by the central government.;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy;Administrative Government;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_desc;The general principles used to determine how local administrators are selected.;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_0;Hereditary Administrators;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_0_desc;Administrative centers and shrine worlds are led by hereditary rulers.;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_1;Elected Administrators;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_1_desc;Administrative centers and shrine worlds are led by officials elected from among the local populace.;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_2;Appointed Administrators;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_2_desc;Administrative centers and shrine worlds are led by administrators or priests appointed by the central government.;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
term_length;Term Length;Mandat;;;;;;;;;;;;x
term_length_desc;The length of time each leader holds power between elections.;La durÈe pendant la quelle le dirigeant dÈtient le pouvoir entre deux ÈlÈctions.;;;;;;;;;;;;x
term_length_0;One Year Terms;Mandat de quatre ans;;;;;;;;;;;;x
term_length_0_option;Annual;Court;;;;;;;;;;;;x
term_length_0_desc;Elections are held every year.;Les dirigeants dÈtiennent le pouvoir pendant quatre ans avant qu'un autre ne puisse Ítre Èlu.;;;;;;;;;;;;x
term_length_1;Four Year Terms;Mandat de quatre ans;;;;;;;;;;;;x
term_length_1_option;Short;Court;;;;;;;;;;;;x
term_length_1_desc;Leaders hold power for four years before a new leader must be elected.;Les dirigeants dÈtiennent le pouvoir pendant quatre ans avant qu'un autre ne puisse Ítre Èlu.;;;;;;;;;;;;x
term_length_2;Six Year Terms;Mandat de six ans;;;;;;;;;;;;x
term_length_2_option;Medium;Moyen;;;;;;;;;;;;x
term_length_2_desc;Leaders hold power for six years before a new leader must be elected.;Les dirigeants dÈtiennent le pouvoir pendant six ans avant qu'un autre ne puisse Ítre Èlu.;;;;;;;;;;;;x
term_length_3;Ten Year Terms;Mandat de dix ans;;;;;;;;;;;;x
term_length_3_option;Long;Long;;;;;;;;;;;;x
term_length_3_desc;Leaders hold power for ten years before a new leader must be elected.;Les dirigeants dÈtiennent le pouvoir pendant dix ans avant qu'un autre ne puisse Ítre Èlu.;;;;;;;;;;;;x
term_length_4;No Term Limits;Pas de durÈe de mandat;;;;;;;;;;;;x
term_length_4_option;Life;A vie;;;;;;;;;;;;x
term_length_4_desc;Leaders hold power for life or until they are removed by a vote of no confidence..;Les dirigeants gardent le pouvoir ‡ vie ou jusqu'‡ ce qu'ils soient dÈmis de leurs fonctionsÖ;;;;;;;;;;;;x
public_order;Civil Order;;;;;;;;;;;;;x
public_order_desc;Whether or not the government is able to enforce its control over its subordinates. Civil Order is automatically set to Weak whenever a civil war or revolt breaks out against the government, and can only be restored to Strong by a sufficiently powerful government.;;;;;;;;;;;;;x
public_order_0;Weak Civil Order;;;;;;;;;;;;;x
public_order_0_option;Weak;;;;;;;;;;;;;x
public_order_0_desc;The government has little de facto control over its territory, and local governors are largely autonomous. Vassals may wage private wars within the realm, and local militias cannot be relied upon for support.;;;;;;;;;;;;;x
public_order_0;Strong Civil Order;;;;;;;;;;;;;x
public_order_0_option;Strong;;;;;;;;;;;;;x
public_order_0_desc;The government is strong and steady. Vassals cannot wage autonomous wars within the realm, for fear of a swift and strong reprisal from the capital.;;;;;;;;;;;;;x
civil_unrest_0;Insignificant Civil Unrest;;;;;;;;;;;;;x
civil_unrest_1;Trivial Civil Unrest;;;;;;;;;;;;;x
civil_unrest_2;Mild Civil Unrest;;;;;;;;;;;;;x
civil_unrest_3;Minor Civil Unrest;;;;;;;;;;;;;x
civil_unrest_4;Moderate Civil Unrest;;;;;;;;;;;;;x
civil_unrest_5;Worrying Civil Unrest;;;;;;;;;;;;;x
civil_unrest_6;Major Civil Unrest;;;;;;;;;;;;;x
civil_unrest_7;Rampant Civil Unrest;;;;;;;;;;;;;x
civil_unrest_8;Massive Civil Unrest;;;;;;;;;;;;;x
civil_unrest_9;Total Chaos;;;;;;;;;;;;;x
