#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCMARRIAGE101;Your [From.GetGirlBoy]friend [From.GetFirstName] has taken you out on the date of a lifetime. An outing to the latest holofilm, a long walk through a beautiful garden, and finally dinner at the most expensive restaurant in town. It's here, finally, that [From.GetSheHe] opens up a small box, and reveals a narrow golden ring. '[Root.GetFirstName],' [From.GetSheHe] says, 'will you marry me?';;;;;;;;;;;;;x
EVTOPTAMARRIAGE101;Of course!;;;;;;;;;;;;;x
EVTOPTBMARRIAGE101;...I'm sorry, [From.GetFirstName]...;;;;;;;;;;;;;x
EVTDESCMARRIAGE105;Treachery! The love of your life, [From.GetFullName], has married another!;;;;;;;;;;;;;x
EVTOPTAMARRIAGE105;Damn them both to the blackest pits of hell!;;;;;;;;;;;;;x
EVTOPTBMARRIAGE105;How could [From.GetSheHe], that traitor?!;;;;;;;;;;;;;x
EVTOPTCMARRIAGE105;[FromFrom.GetOnlyDynastyName], [From.GetFirstName] is mine and mine alone!;;;;;;;;;;;;;x
EVTOPTDMARRIAGE105;Perhaps it would be best just to let it go.;;;;;;;;;;;;;x
EVTTOOLTIPMARRIAGE102;will marry you. §YThis will be a same-sex marriage. You will not be able to produce biological children.§!;;;;;;;;;;;;;x
EVTTOOLTIPMARRIAGE201;will be asked to marry you. §YThis will be a patrilineal marriage. All biological children will be of your dynasty.§!;;;;;;;;;;;;;x
EVTTOOLTIPMARRIAGE202;will marry you. §RTHIS WILL BE A PATRILINEAL MARRIAGE. ALL BIOLOGICAL CHILDREN WILL BE OF HIS DYNASTY.§!;;;;;;;;;;;;;x
EVTTOOLTIPMARRIAGE211;will be asked to marry you. §RTHIS WILL BE A MATRILINEAL MARRIAGE. ALL BIOLOGICAL CHILDREN WILL BE OF HER DYNASTY.§!;;;;;;;;;;;;;x
EVTTOOLTIPMARRIAGE212;will marry you. §YThis will be a matrilineal marriage. All biological children will be of your dynasty.§!;;;;;;;;;;;;;x
EVTTOOLTIPMARRIAGE302;will marry you. §RTHIS WILL BE A MATRILINEAL MARRIAGE. ALL BIOLOGICAL CHILDREN WILL BE OF HER DYNASTY.§!;;;;;;;;;;;;;x
EVTTOOLTIPMARRIAGE312;will marry you. §YThis will be a patrilineal marriage. All biological children will be of your dynasty.§!;;;;;;;;;;;;;x
