#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_CULTURAL_LIBERATION;National Liberation;;;;;;;;;;;;;x
cultural_liberation_desc;The [Root.Culture.GetGroupName] people of the [This.GetFullName] labor under foreign oppressors. They must be liberated!;;;;;;;;;;;;x
WAR_NAME_CULTURAL_LIBERATION;$ORDER$[Actor.Culture.GetGroupName] Nationalist War for $OTHER_TITLE$;;;;;;;;;;;;;x
terran_group;Terrans;Terriens;Terraner;;Terrícolas;;;;;;;;;x
hispanic_xingjie;Hispano-Xingjie;Xingjie;Hispano-Xingjie;;Xingjie;;;;;;;;;x
indo_xingjie;Indo-Xingjie;Xingjie;Indo-Xingjie;;Xingjie;;;;;;;;;x
iranian_xingjie;Iranian-Xingjie;Xingjie;Iranischer Xingjie;;Xingjie;;;;;;;;;x
japanese_xingjie;Japano-Xingjie;Xingjie;Japanischer Xingjie;;Xingjie;;;;;;;;;x
mesoamerican_xingjie;Mesoamerican-Xingjie;Xingjie;Mesoamerikanischer Xingjie;;Xingjie;;;;;;;;;x
russo_xingjie;Russo-Xingjie;Xingjie;Russischer Xingjie;;Xingjie;;;;;;;;;x
sino_xingjie;Sino-Xingjie;Xingjie;Sino-Xingjie;;Xingjie;;;;;;;;;x
west_afro_xingjie;West-African Xingjie;Xingjie;West Afrikanischer Xingjie;;Xingjie;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
celestean_group;Celestian;Celestian;Celestian;;Celestian;;;;;;;;;x
anglo_celestean;Anglo-Celestian;Celestian;Anglo-Celestian;;Celestian;;;;;;;;;x
arab_celestean;Arab-Celestian;Celestian;Arabischer Celestian;;Celestian;;;;;;;;;x
east_afro_celestean;East-Afro-Celestian;Celestian;Ostafrikanischer Celestian;;Celestian;;;;;;;;;x
ethiopian_celestean;Ethiopian-Celestian;Celestian;Ethiopischer Celestian;;Celestian;;;;;;;;;x
hispanic_celestean;Hispano-Celestian;Celestian;Hispano-Celestian;;Celestian;;;;;;;;;x
indo_celestean;Indo-Celestian;Celestian;Indo-Celestian;;Celestian;;;;;;;;;x
iranian_celestean;Iranian-Celestian;Celestian;Iranischer Celestian;;Celestian;;;;;;;;;x
japanese_celestean;Japano-Celestian;Celestian;Japanischer Celestian;;Celestian;;;;;;;;;x
mesoamerican_celestean;Mesoamerican-Celestian;Celestian;Mesoamerikanischer Celestian;;Celestian;;;;;;;;;x
russo_celestean;Russo-Celestian;Celestian;Russischer Celestian;;Celestian;;;;;;;;;x
sino_celestean;Sino-Celestian;Celestian;Sino-Celestian;;Celestian;;;;;;;;;x
west_afro_celestean;West-African Celestian;Celestian;West Afrikanischer Celestian;;Celestian;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
sexto_solar_group;Sexto Solar;Sexto Solar;Sexto Solar;;Sexto Solar;;;;;;;;;x
anglo_sexto_solar;Anglo-Sexto Solar;Sexto Solar;Anglo-Sexto Solar;;Sexto Solar;;;;;;;;;x
arab_sexto_solar;Arab-Sexto Solar;Sexto Solar;Arabischer Sexto Solar;;Sexto Solar;;;;;;;;;x
east_afro_sexto_solar;East-Afro-Sexto Solar;Sexto Solar;Ostafrikanischer Sexto Solar;;Sexto Solar;;;;;;;;;x
ethiopian_sexto_solar;Ethiopian-Sexto Solar;Sexto Solar;Ethiopischer Sexto Solar;;Sexto Solar;;;;;;;;;x
hispanic_sexto_solar;Hispano-Sexto Solar;Sexto Solar;Hispano-Sexto Solar;;Sexto Solar;;;;;;;;;x
indo_sexto_solar;Indo-Sexto Solar;Sexto Solar;Indo-Sexto Solar;;Sexto Solar;;;;;;;;;x
iranian_sexto_solar;Iranian-Sexto Solar;Sexto Solar;Iranischer Sexto Solar;;Sexto Solar;;;;;;;;;x
japanese_sexto_solar;Japano-Sexto Solar;Sexto Solar;Japanischer Sexto Solar;;Sexto Solar;;;;;;;;;x
mesoamerican_sexto_solar;Mesoamerican-Sexto Solar;Sexto Solar;Mesoamerikanischer Sexto Solar;;Sexto Solar;;;;;;;;;x
russo_sexto_solar;Russo-Sexto Solar;Sexto Solar;Russischer Sexto Solar;;Sexto Solar;;;;;;;;;x
sino_sexto_solar;Sino-Sexto Solar;Sexto Solar;Sino-Sexto Solar;;Sexto Solar;;;;;;;;;x
west_afro_sexto_solar;West-African Sexto Solar;Sexto Solar;West Afrikanischer Sexto Solar;;Sexto Solar;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
samawati_group;Samawati;Samawati;Samawati;;Samawati;;;;;;;;;x
anglo_samawati;Anglo-Samawati;Samawati;Anglo-Samawati;;Samawati;;;;;;;;;x
arab_samawati;Arab-Samawati;Samawati;Arabischer Samawati;;Samawati;;;;;;;;;x
east_afro_samawati;East-Afro-Samawati;Samawati;Ostafrikanischer Samawati;;Samawati;;;;;;;;;x
ethiopian_samawati;Ethiopian-Samawati;Samawati;Ethiopischer Samawati;;Samawati;;;;;;;;;x
hispanic_samawati;Hispano-Samawati;Samawati;Hispano-Samawati;;Samawati;;;;;;;;;x
indo_samawati;Indo-Samawati;Samawati;Indo-Samawati;;Samawati;;;;;;;;;x
iranian_samawati;Iranian-Samawati;Samawati;Iranischer Samawati;;Samawati;;;;;;;;;x
japanese_samawati;Japano-Samawati;Samawati;Japanischer Samawati;;Samawati;;;;;;;;;x
mesoamerican_samawati;Mesoamerican-Samawati;Samawati;Mesoamerikanischer Samawati;;Samawati;;;;;;;;;x
russo_samawati;Russo-Samawati;Samawati;Russischer Samawati;;Samawati;;;;;;;;;x
sino_samawati;Sino-Samawati;Samawati;Sino-Samawati;;Samawati;;;;;;;;;x
west_afro_samawati;West-African Samawati;Samawati;West Afrikanischer Samawati;;Samawati;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
angani_group;Angani;Angani;Angani;;Angani;;;;;;;;;x
anglo_angani;Anglo-Angani;Angani;Anglo-Angani;;Angani;;;;;;;;;x
arab_angani;Arab-Angani;Angani;Arabischer Angani;;Angani;;;;;;;;;x
east_afro_angani;East-Afro-Angani;Angani;Ostafrikanischer Angani;;Angani;;;;;;;;;x
ethiopian_angani;Ethiopian-Angani;Angani;Ethiopischer Angani;;Angani;;;;;;;;;x
hispanic_angani;Hispano-Angani;Angani;Hispano-Angani;;Angani;;;;;;;;;x
indo_angani;Indo-Angani;Angani;Indo-Angani;;Angani;;;;;;;;;x
iranian_angani;Iranian-Angani;Angani;Iranischer Angani;;Angani;;;;;;;;;x
japanese_angani;Japano-Angani;Angani;Japanischer Angani;;Angani;;;;;;;;;x
mesoamerican_angani;Mesoamerican-Angani;Angani;Mesoamerikanischer Angani;;Angani;;;;;;;;;x
russo_angani;Russo-Angani;Angani;Russischer Angani;;Angani;;;;;;;;;x
sino_angani;Sino-Angani;Angani;Sino-Angani;;Angani;;;;;;;;;x
west_afro_angani;West-African Angani;Angani;West Afrikanischer Angani;;Angani;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
frontiersman_group;Frontiersman;Frontiersman;Frontiersman;;Frontiersman;;;;;;;;;x
anglo_frontiersman;Anglo-Frontiersman;Frontiersman;Anglo-Frontiersman;;Frontiersman;;;;;;;;;x
arab_frontiersman;Arab-Frontiersman;Frontiersman;Arabischer Frontiersman;;Frontiersman;;;;;;;;;x
east_afro_frontiersman;East-Afro-Frontiersman;Frontiersman;Ostafrikanischer Frontiersman;;Frontiersman;;;;;;;;;x
ethiopian_frontiersman;Ethiopian-Frontiersman;Frontiersman;Ethiopischer Frontiersman;;Frontiersman;;;;;;;;;x
hispanic_frontiersman;Hispano-Frontiersman;Frontiersman;Hispano-Frontiersman;;Frontiersman;;;;;;;;;x
indo_frontiersman;Indo-Frontiersman;Frontiersman;Indo-Frontiersman;;Frontiersman;;;;;;;;;x
iranian_frontiersman;Iranian-Frontiersman;Frontiersman;Iranischer Frontiersman;;Frontiersman;;;;;;;;;x
japanese_frontiersman;Japano-Frontiersman;Frontiersman;Japanischer Frontiersman;;Frontiersman;;;;;;;;;x
mesoamerican_frontiersman;Mesoamerican-Frontiersman;Frontiersman;Mesoamerikanischer Frontiersman;;Frontiersman;;;;;;;;;x
russo_frontiersman;Russo-Frontiersman;Frontiersman;Russischer Frontiersman;;Frontiersman;;;;;;;;;x
sino_frontiersman;Sino-Frontiersman;Frontiersman;Sino-Frontiersman;;Frontiersman;;;;;;;;;x
west_afro_frontiersman;West-African Frontiersman;Frontiersman;West Afrikanischer Frontiersman;;Frontiersman;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
centauri_group;Centauri;Centauri;Centauri;;Centauri;;;;;;;;;x
anglo_centauri;Anglo-Centauri;Centauri;Anglo-Centauri;;Centauri;;;;;;;;;x
arab_centauri;Arab-Centauri;Centauri;Arabischer Centauri;;Centauri;;;;;;;;;x
east_afro_centauri;East-Afro-Centauri;Centauri;Ostafrikanischer Centauri;;Centauri;;;;;;;;;x
ethiopian_centauri;Ethiopian-Centauri;Centauri;Ethiopischer Centauri;;Centauri;;;;;;;;;x
hispanic_centauri;Hispano-Centauri;Centauri;Hispano-Centauri;;Centauri;;;;;;;;;x
indo_centauri;Indo-Centauri;Centauri;Indo-Centauri;;Centauri;;;;;;;;;x
iranian_centauri;Iranian-Centauri;Centauri;Iranischer Centauri;;Centauri;;;;;;;;;x
japanese_centauri;Japano-Centauri;Centauri;Japanischer Centauri;;Centauri;;;;;;;;;x
mesoamerican_centauri;Mesoamerican-Centauri;Centauri;Mesoamerikanischer Centauri;;Centauri;;;;;;;;;x
russo_centauri;Russo-Centauri;Centauri;Russischer Centauri;;Centauri;;;;;;;;;x
sino_centauri;Sino-Centauri;Centauri;Sino-Centauri;;Centauri;;;;;;;;;x
west_afro_centauri;West-African Centauri;Centauri;West Afrikanischer Centauri;;Centauri;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
tengoku_group;Tengoku;Tengoku;Tengoku;;Tengoku;;;;;;;;;x
anglo_tengoku;Anglo-Tengoku;Tengoku;Anglo-Tengoku;;Tengoku;;;;;;;;;x
arab_tengoku;Arab-Tengoku;Tengoku;Arabischer Tengoku;;Tengoku;;;;;;;;;x
east_afro_tengoku;East-Afro-Tengoku;Tengoku;Ostafrikanischer Tengoku;;Tengoku;;;;;;;;;x
ethiopian_tengoku;Ethiopian-Tengoku;Tengoku;Ethiopischer Tengoku;;Tengoku;;;;;;;;;x
hispanic_tengoku;Hispano-Tengoku;Tengoku;Hispano-Tengoku;;Tengoku;;;;;;;;;x
indo_tengoku;Indo-Tengoku;Tengoku;Indo-Tengoku;;Tengoku;;;;;;;;;x
iranian_tengoku;Iranian-Tengoku;Tengoku;Iranischer Tengoku;;Tengoku;;;;;;;;;x
japanese_tengoku;Japano-Tengoku;Tengoku;Japanischer Tengoku;;Tengoku;;;;;;;;;x
mesoamerican_tengoku;Mesoamerican-Tengoku;Tengoku;Mesoamerikanischer Tengoku;;Tengoku;;;;;;;;;x
russo_tengoku;Russo-Tengoku;Tengoku;Russischer Tengoku;;Tengoku;;;;;;;;;x
sino_tengoku;Sino-Tengoku;Tengoku;Sino-Tengoku;;Tengoku;;;;;;;;;x
west_afro_tengoku;West-African Tengoku;Tengoku;West Afrikanischer Tengoku;;Tengoku;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
bianjiangese_group;Bianjiangese;Bianjiangese;Bianjiangese;;Bianjiangese;;;;;;;;;x
anglo_bianjiangese;Anglo-Bianjiangese;Bianjiangese;Anglo-Bianjiangese;;Bianjiangese;;;;;;;;;x
arab_bianjiangese;Arab-Bianjiangese;Bianjiangese;Arabischer Bianjiangese;;Bianjiangese;;;;;;;;;x
east_afro_bianjiangese;East-Afro-Bianjiangese;Bianjiangese;Ostafrikanischer Bianjiangese;;Bianjiangese;;;;;;;;;x
ethiopian_bianjiangese;Ethiopian-Bianjiangese;Bianjiangese;Ethiopischer Bianjiangese;;Bianjiangese;;;;;;;;;x
hispanic_bianjiangese;Hispano-Bianjiangese;Bianjiangese;Hispano-Bianjiangese;;Bianjiangese;;;;;;;;;x
indo_bianjiangese;Indo-Bianjiangese;Bianjiangese;Indo-Bianjiangese;;Bianjiangese;;;;;;;;;x
iranian_bianjiangese;Iranian-Bianjiangese;Bianjiangese;Iranischer Bianjiangese;;Bianjiangese;;;;;;;;;x
japanese_bianjiangese;Japano-Bianjiangese;Bianjiangese;Japanischer Bianjiangese;;Bianjiangese;;;;;;;;;x
mesoamerican_bianjiangese;Mesoamerican-Bianjiangese;Bianjiangese;Mesoamerikanischer Bianjiangese;;Bianjiangese;;;;;;;;;x
russo_bianjiangese;Russo-Bianjiangese;Bianjiangese;Russischer Bianjiangese;;Bianjiangese;;;;;;;;;x
sino_bianjiangese;Sino-Bianjiangese;Bianjiangese;Sino-Bianjiangese;;Bianjiangese;;;;;;;;;x
west_afro_bianjiangese;West-African Bianjiangese;Bianjiangese;West Afrikanischer Bianjiangese;;Bianjiangese;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
orion_group;Orion;Orion;Orion;;Orion;;;;;;;;;x
anglo_orion;Anglo-Orion;Orion;Anglo-Orion;;Orion;;;;;;;;;x
arab_orion;Arab-Orion;Orion;Arabischer Orion;;Orion;;;;;;;;;x
east_afro_orion;East-Afro-Orion;Orion;Ostafrikanischer Orion;;Orion;;;;;;;;;x
ethiopian_orion;Ethiopian-Orion;Orion;Ethiopischer Orion;;Orion;;;;;;;;;x
hispanic_orion;Hispano-Orion;Orion;Hispano-Orion;;Orion;;;;;;;;;x
indo_orion;Indo-Orion;Orion;Indo-Orion;;Orion;;;;;;;;;x
iranian_orion;Iranian-Orion;Orion;Iranischer Orion;;Orion;;;;;;;;;x
japanese_orion;Japano-Orion;Orion;Japanischer Orion;;Orion;;;;;;;;;x
mesoamerican_orion;Mesoamerican-Orion;Orion;Mesoamerikanischer Orion;;Orion;;;;;;;;;x
russo_orion;Russo-Orion;Orion;Russischer Orion;;Orion;;;;;;;;;x
sino_orion;Sino-Orion;Orion;Sino-Orion;;Orion;;;;;;;;;x
west_afro_orion;West-African Orion;Orion;West Afrikanischer Orion;;Orion;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
mukta_group;Mukta;Mukta;Mukta;;Mukta;;;;;;;;;x
anglo_mukta;Anglo-Mukta;Mukta;Anglo-Mukta;;Mukta;;;;;;;;;x
arab_mukta;Arab-Mukta;Mukta;Arabischer Mukta;;Mukta;;;;;;;;;x
east_afro_mukta;East-Afro-Mukta;Mukta;Ostafrikanischer Mukta;;Mukta;;;;;;;;;x
ethiopian_mukta;Ethiopian-Mukta;Mukta;Ethiopischer Mukta;;Mukta;;;;;;;;;x
hispanic_mukta;Hispano-Mukta;Mukta;Hispano-Mukta;;Mukta;;;;;;;;;x
indo_mukta;Indo-Mukta;Mukta;Indo-Mukta;;Mukta;;;;;;;;;x
iranian_mukta;Iranian-Mukta;Mukta;Iranischer Mukta;;Mukta;;;;;;;;;x
japanese_mukta;Japano-Mukta;Mukta;Japanischer Mukta;;Mukta;;;;;;;;;x
mesoamerican_mukta;Mesoamerican-Mukta;Mukta;Mesoamerikanischer Mukta;;Mukta;;;;;;;;;x
russo_mukta;Russo-Mukta;Mukta;Russischer Mukta;;Mukta;;;;;;;;;x
sino_mukta;Sino-Mukta;Mukta;Sino-Mukta;;Mukta;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
tarkan_group;Tarkan;Tarkan;Tarkan;;Tarkan;;;;;;;;;x
anglo_tarkan;Anglo-Tarkan;Tarkan;Anglo-Tarkan;;Tarkan;;;;;;;;;x
arab_tarkan;Arab-Tarkan;Tarkan;Arabischer Tarkan;;Tarkan;;;;;;;;;x
east_afro_tarkan;East-Afro-Tarkan;Tarkan;Ostafrikanischer Tarkan;;Tarkan;;;;;;;;;x
ethiopian_tarkan;Ethiopian-Tarkan;Tarkan;Ethiopischer Tarkan;;Tarkan;;;;;;;;;x
hispanic_tarkan;Hispano-Tarkan;Tarkan;Hispano-Tarkan;;Tarkan;;;;;;;;;x
indo_tarkan;Indo-Tarkan;Tarkan;Indo-Tarkan;;Tarkan;;;;;;;;;x
iranian_tarkan;Iranian-Tarkan;Tarkan;Iranischer Tarkan;;Tarkan;;;;;;;;;x
japanese_tarkan;Japano-Tarkan;Tarkan;Japanischer Tarkan;;Tarkan;;;;;;;;;x
mesoamerican_tarkan;Mesoamerican-Tarkan;Tarkan;Mesoamerikanischer Tarkan;;Tarkan;;;;;;;;;x
russo_tarkan;Russo-Tarkan;Tarkan;Russischer Tarkan;;Tarkan;;;;;;;;;x
sino_tarkan;Sino-Tarkan;Tarkan;Sino-Tarkan;;Tarkan;;;;;;;;;x
west_afro_tarkan;West-African Tarkan;Tarkan;West Afrikanischer Tarkan;;Tarkan;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
avalonian_group;Avalonian;Avalonian;Avalonian;;Avalonian;;;;;;;;;x
anglo_avalonian;Anglo-Avalonian;Avalonian;Anglo-Avalonian;;Avalonian;;;;;;;;;x
arab_avalonian;Arab-Avalonian;Avalonian;Arabischer Avalonian;;Avalonian;;;;;;;;;x
east_afro_avalonian;East-Afro-Avalonian;Avalonian;Ostafrikanischer Avalonian;;Avalonian;;;;;;;;;x
ethiopian_avalonian;Ethiopian-Avalonian;Avalonian;Ethiopischer Avalonian;;Avalonian;;;;;;;;;x
hispanic_avalonian;Hispano-Avalonian;Avalonian;Hispano-Avalonian;;Avalonian;;;;;;;;;x
indo_avalonian;Indo-Avalonian;Avalonian;Indo-Avalonian;;Avalonian;;;;;;;;;x
iranian_avalonian;Iranian-Avalonian;Avalonian;Iranischer Avalonian;;Avalonian;;;;;;;;;x
japanese_avalonian;Japano-Avalonian;Avalonian;Japanischer Avalonian;;Avalonian;;;;;;;;;x
mesoamerican_avalonian;Mesoamerican-Avalonian;Avalonian;Mesoamerikanischer Avalonian;;Avalonian;;;;;;;;;x
russo_avalonian;Russo-Avalonian;Avalonian;Russischer Avalonian;;Avalonian;;;;;;;;;x
sino_avalonian;Sino-Avalonian;Avalonian;Sino-Avalonian;;Avalonian;;;;;;;;;x
west_afro_avalonian;West-African Avalonian;Avalonian;West Afrikanischer Avalonian;;Avalonian;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
strugatskite_group;Strugatskite;Strugatskite;Strugatskite;;Strugatskite;;;;;;;;;x
anglo_strugatskite;Anglo-Strugatskite;Strugatskite;Anglo-Strugatskite;;Strugatskite;;;;;;;;;x
arab_strugatskite;Arab-Strugatskite;Strugatskite;Arabischer Strugatskite;;Strugatskite;;;;;;;;;x
east_afro_strugatskite;East-Afro-Strugatskite;Strugatskite;Ostafrikanischer Strugatskite;;Strugatskite;;;;;;;;;x
ethiopian_strugatskite;Ethiopian-Strugatskite;Strugatskite;Ethiopischer Strugatskite;;Strugatskite;;;;;;;;;x
hispanic_strugatskite;Hispano-Strugatskite;Strugatskite;Hispano-Strugatskite;;Strugatskite;;;;;;;;;x
indo_strugatskite;Indo-Strugatskite;Strugatskite;Indo-Strugatskite;;Strugatskite;;;;;;;;;x
iranian_strugatskite;Iranian-Strugatskite;Strugatskite;Iranischer Strugatskite;;Strugatskite;;;;;;;;;x
japanese_strugatskite;Japano-Strugatskite;Strugatskite;Japanischer Strugatskite;;Strugatskite;;;;;;;;;x
mesoamerican_strugatskite;Mesoamerican-Strugatskite;Strugatskite;Mesoamerikanischer Strugatskite;;Strugatskite;;;;;;;;;x
russo_strugatskite;Russo-Strugatskite;Strugatskite;Russischer Strugatskite;;Strugatskite;;;;;;;;;x
sino_strugatskite;Sino-Strugatskite;Strugatskite;Sino-Strugatskite;;Strugatskite;;;;;;;;;x
west_afro_strugatskite;West-African Strugatskite;Strugatskite;West Afrikanischer Strugatskite;;Strugatskite;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
edemite_group;Edemite;Edemite;Edemit;;Edemite;;;;;;;;;x
anglo_edemite;Anglo-Edemite;Edemite;Anglo-Edemit;;Edemite;;;;;;;;;x
arab_edemite;Arab-Edemite;Edemite;Arabischer Edemit;;Edemite;;;;;;;;;x
east_afro_edemite;East-Afro-Edemite;Edemite;Ostafrikanischer Edemit;;Edemite;;;;;;;;;x
ethiopian_edemite;Ethiopian-Edemite;Edemite;Ethiopischer Edemit;;Edemite;;;;;;;;;x
hispanic_edemite;Hispano-Edemite;Edemite;Hispano-Edemit;;Edemite;;;;;;;;;x
indo_edemite;Indo-Edemite;Edemite;Indo-Edemit;;Edemite;;;;;;;;;x
iranian_edemite;Iranian-Edemite;Edemite;Iranischer Edemit;;Edemite;;;;;;;;;x
japanese_edemite;Japano-Edemite;Edemite;Japanischer Edemit;;Edemite;;;;;;;;;x
mesoamerican_edemite;Mesoamerican-Edemite;Edemite;Mesoamerikanischer Edemit;;Edemite;;;;;;;;;x
russo_edemite;Russo-Edemite;Edemite;Russischer Edemit;;Edemite;;;;;;;;;x
sino_edemite;Sino-Edemite;Edemite;Sino-Edemite;;Edemite;;;;;;;;;x
west_afro_edemite;West-African Edemite;Edemite;West Afrikanischer Edemit;;Edemite;;;;;;;;;x
