#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
counties;Systems;Systèmes;;;;;;;;;;;;x
baron;Commandant;Commandant;;;;;;;;;;;;x
baron_female;Commandant;Commandante;;;;;;;;;;;;x
baron_foa;Commandant;Commandant;;;;;;;;;;;;x
baron_foa_female;Commandant;Commandante;;;;;;;;;;;;x
baron_title_ruler_consort;Commandant's Husband;Epoux;;;;;;;;;;;;x
baron_title_ruler_consort_female;Commandant's Wife;Dame;;;;;;;;;;;;x
barony_of;Planet;Planète;;;;;;;;;;;;x
barony;Planet;Planète;;;;;;;;;;;;x
baronies;Planets;Planètes;;;;;;;;;;;;x
city_emperor;President;Président;;;;;;;;;;;;x
city_emperor_female;President;Présidente;;;;;;;;;;;;x
city_emperor_foa;Mister President;Monsieur le président;;;;;;;;;;;;x
city_emperor_foa_female;Madam President;Madame la présidente;;;;;;;;;;;;x
city_emperor_title_ruler_consort;First Man;Epoux;;;;;;;;;;;;x
city_emperor_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
city_king;President;Président;;;;;;;;;;;;x
city_king_female;President;Présidente;;;;;;;;;;;;x
city_king_foa;Mister President;Monsieur le président;;;;;;;;;;;;x
city_king_foa_female;Madam President;Madame la présidente;;;;;;;;;;;;x
city_king_title_ruler_consort;First Man;Epoux;;;;;;;;;;;;x
city_king_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
city_duke;Governor-General;Gouverneur-Général;;;;;;;;;;;;x
city_duke_female;Governor-General;Gouverneur-Général;;;;;;;;;;;;x
city_duke_foa;Mister Governor;Monsieur le gouverneur-général;;;;;;;;;;;;x
city_duke_foa_female;Madam Governor;Madame le gouverneur-général;;;;;;;;;;;;x
city_duke_title_ruler_consort;Governor's Husband;Epoux;;;;;;;;;;;;x
city_duke_title_ruler_consort_female;Governor's Wife;Dame;;;;;;;;;;;;x
city_count;Governor;Gouverneur;;;;;;;;;;;;x
city_count_female;Governor;Gouverneur;;;;;;;;;;;;x
city_count_foa;Mister Governor;Monsieur le gouverneur;;;;;;;;;;;;x
city_count_foa_female;Madam Governor;Madame le gouverneur;;;;;;;;;;;;x
city_count_title_ruler_consort;Governor's Husband;Epoux;;;;;;;;;;;;x
city_count_title_ruler_consort_female;Governor's Wife;Dame;;;;;;;;;;;;x
city_baron;Governor;Gouverneur;;;;;;;;;;;;x
city_baron_female;Governor;Gouverneur;;;;;;;;;;;;x
city_baron_foa;Mister Governor;Monsieur le gouverneur;;;;;;;;;;;;x
city_baron_foa_female;Madam Governor;Madame le gouverneur;;;;;;;;;;;;x
city_baron_title_ruler_consort;Governor's Husband;Epoux;;;;;;;;;;;;x
city_baron_title_ruler_consort_female;Governor's Wife;Dame;;;;;;;;;;;;x
temple_emperor;Director-General;Directeur-Général;;;;;;;;;;;;x
temple_emperor_female;Director-General;Directrice-Général;;;;;;;;;;;;x
temple_emperor_foa;Director-General;Monsieur le directeur-général;;;;;;;;;;;;x
temple_emperor_foa_female;Director-General;Madame la directrice-général;;;;;;;;;;;;x
temple_emperor_title_ruler_consort;First Man;Epoux;;;;;;;;;;;;x
temple_emperor_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
temple_empire_of;Grand Directorate of;Grand directorat de;;;;;;;;;;;;x
temple_empire;Grand Directorate;Grand directorat;;;;;;;;;;;;x
temple_empires;Grand Directorates;Grands directorats;;;;;;;;;;;;x
temple_king;Director-General;Directeur-Général;;;;;;;;;;;;x
temple_king_female;Director-General;Directrice-Général;;;;;;;;;;;;x
temple_king_foa;Director-General;Directeur-Général;;;;;;;;;;;;x
temple_king_foa_female;Director-General;Directrice-Général;;;;;;;;;;;;x
temple_king_title_ruler_consort;First Man;Epoux;;;;;;;;;;;;x
temple_king_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
temple_kingdom_of;Directorate of;Directorat de;;;;;;;;;;;;x
temple_kingdom;Directorate;Directorat;;;;;;;;;;;;x
temple_kingdoms;Directorates;Directorats;;;;;;;;;;;;x
temple_duke;High Commissioner;Haut commissionneur;;;;;;;;;;;;x
temple_duke_female;High Commissioner;Haute commissionneuse;;;;;;;;;;;;x
temple_duke_foa;Commissioner;Commissionneur;;;;;;;;;;;;x
temple_duke_foa_female;Commissioner;Commissionneuse;;;;;;;;;;;;x
temple_duke_title_ruler_consort;Commissioner's Husband;Epoux;;;;;;;;;;;;x
temple_duke_title_ruler_consort_female;Commissioner's Wife;Dame;;;;;;;;;;;;x
temple_count;Commissioner;Commissionneur;;;;;;;;;;;;x
temple_count_female;Commissioner;Commissionneuse;;;;;;;;;;;;x
temple_count_foa;Commissioner;Commissionneur;;;;;;;;;;;;x
temple_count_foa_female;Commissioner;Commissionneuse;;;;;;;;;;;;x
temple_count_title_ruler_consort;Commissioner's Husband;Epoux;;;;;;;;;;;;x
temple_count_title_ruler_consort_female;Commissioner's Wife;Dame;;;;;;;;;;;;x
temple_baron;Administrator;Administrateur;;;;;;;;;;;;x
temple_baron_female;Administrator;Administratrice;;;;;;;;;;;;x
temple_baron_foa;Administrator;Administrateur;;;;;;;;;;;;x
temple_baron_foa_female;Administrator;Administratrice;;;;;;;;;;;;x
temple_baron_title_ruler_consort;Administrator's Husband;Epoux;;;;;;;;;;;;x
temple_baron_title_ruler_consort_female;Administrator's Wife;Dame;;;;;;;;;;;;x
PALACE_NAME;$DYNASTY$ Corporation;Corporation $DYNASTY$;;;;;;;;;;;;x
family_palace;Corporation;Corporation;;;;;;;;;;;;x;
family_palace_baron;CEO;PDG;;;;;;;;;;;;x;
family_palace_baron_female;CEO;PDG;;;;;;;;;;;;x;
family_palace_baron_foa;Sir;Monsieur;;;;;;;;;;;;x;
family_palace_baron_foa_female;Ma;Madame;;;;;;;;;;;;;x
family_palace_barony_of;Headquarters of;Quartier général de;;;;;;;;;;;;x;
family_palace_baron_deed;Chair of;Président de;;;;;;;;;;;;x;
emperor_terran_imperial;Emperor;;;;;;;;;;;;;x
emperor_terran_imperial_female;Empress;;;;;;;;;;;;;x
emperor_foa_terran_imperial;Your Majesty;;;;;;;;;;;;;x
emperor_foa_terran_imperial_female;Your Majesty;;;;;;;;;;;;;x
emperor_title_ruler_consort_terran_imperial;Emperor Consort;;;;;;;;;;;;;x
emperor_title_ruler_consort_terran_imperial_female;Empress Consort;;;;;;;;;;;;;x
empire_of_terran_imperial;Empire of;;;;;;;;;;;;;x
empire_terran_imperial;Empire;;;;;;;;;;;;;x
empires_terran_imperial;Empires;;;;;;;;;;;;;x
emperor_deed_terran_imperial;Throne of;;;;;;;;;;;;;x
king_terran_imperial;Supreme Commander;;;;;;;;;;;;;x
king_terran_imperial_female;Supreme Commander;;;;;;;;;;;;;x
king_foa_terran_imperial;Lord Commander;;;;;;;;;;;;;x
king_foa_terran_imperial_female;Lady Commander;;;;;;;;;;;;;x
king_title_ruler_consort_terran_imperial;Commander's Husband;;;;;;;;;;;;;x
king_title_ruler_consort_terran_imperial_female;Commander's Wife;;;;;;;;;;;;;x
kingdom_of_terran_imperial;Imperial State of;;;;;;;;;;;;;x
kingdom_terran_imperial;Imperial State;;;;;;;;;;;;;x
kingdoms_terran_imperial;Imperial States;;;;;;;;;;;;;x
king_deed_terran_imperial;High Command of;;;;;;;;;;;;;x
duke_terran_imperial;Lord Commander;;;;;;;;;;;;;x
duke_terran_imperial_female;Lady Commander;;;;;;;;;;;;;x
duke_foa_terran_imperial;Lord Commander;;;;;;;;;;;;;x
duke_foa_terran_imperial_female;Lady Commander;;;;;;;;;;;;;x
duke_title_ruler_consort_terran_imperial;Commander's Husband;;;;;;;;;;;;;x
duke_title_ruler_consort_terran_imperial_female;Commander's Wife;;;;;;;;;;;;;x
duchy_of_terran_imperial;Imperial Sector;;;;;;;;;;;;;x
duchy_terran_imperial;Imperial Sector;;;;;;;;;;;;;x
duchies_terran_imperial;Imperial Sectors;;;;;;;;;;;;;x
duke_deed_terran_imperial;Command of;;;;;;;;;;;;;x
city_emperor_terran_imperial;Lord Hegemon;;;;;;;;;;;;;x
city_emperor_terran_imperial_female;Lady Hegemon;;;;;;;;;;;;;x
city_emperor_foa_terran_imperial;My Lord;;;;;;;;;;;;;x
city_emperor_foa_terran_imperial_female;My Lady;;;;;;;;;;;;;x
city_emperor_title_ruler_consort_terran_imperial;First Man;;;;;;;;;;;;;x
city_emperor_title_ruler_consort_terran_imperial_female;First Lady;;;;;;;;;;;;;x
city_empire_of_terran_imperial;Hegemony of;;;;;;;;;;;;;x
city_empire_terran_imperial;Hegemony;;;;;;;;;;;;;x
city_empires_terran_imperial;Hegemonies;;;;;;;;;;;;;x
city_emperor_deed_terran_imperial;Hegemony of;;;;;;;;;;;;;x
city_king_terran_imperial;Lord Archon;;;;;;;;;;;;;x
city_king_terran_imperial_female;Lady Archon;;;;;;;;;;;;;x
city_king_foa_terran_imperial;My Lord;;;;;;;;;;;;;x
city_king_foa_terran_imperial_female;My Lady;;;;;;;;;;;;;x
city_king_title_ruler_consort_terran_imperial;Archon's Husband;;;;;;;;;;;;;x
city_king_title_ruler_consort_terran_imperial_female;Archon's Wife;;;;;;;;;;;;;x
city_kingdom_of_terran_imperial;League of;;;;;;;;;;;;;x
city_kingdom_terran_imperial;League;;;;;;;;;;;;;x
city_kingdoms_terran_imperial;Leagues;;;;;;;;;;;;;x
city_king_deed_terran_imperial;Archonship of;;;;;;;;;;;;;x
city_count_terran_imperial;High Magistrate;;;;;;;;;;;;;x
city_count_terran_imperial_female;High Magistrate;;;;;;;;;;;;;x
city_count_foa_terran_imperial;Lord Magistrate;;;;;;;;;;;;;x
city_count_foa_terran_imperial_female;Lady Magistrate;;;;;;;;;;;;;x
city_count_title_ruler_consort_terran_imperial;Magistrate's Husband;;;;;;;;;;;;;x
city_count_title_ruler_consort_terran_imperial_female;Magistrate's Wife;;;;;;;;;;;;;x
city_county_of_terran_imperial;Free System of;;;;;;;;;;;;;x
city_county_terran_imperial;Free System;;;;;;;;;;;;;x
city_counties_terran_imperial;Free Systems;;;;;;;;;;;;;x
city_count_deed_terran_imperial;Magistracy of;;;;;;;;;;;;;x
city_baron_terran_imperial;Magistrate;;;;;;;;;;;;;x
city_baron_terran_imperial_female;Magistrate;;;;;;;;;;;;;x
city_baron_foa_terran_imperial;Lord Magistrate;;;;;;;;;;;;;x
city_baron_foa_terran_imperial_female;Lady Magistrate;;;;;;;;;;;;;x
city_baron_title_ruler_consort_terran_imperial;Magistrate's Husband;;;;;;;;;;;;;x
city_baron_title_ruler_consort_terran_imperial_female;Magistrate's Wife;;;;;;;;;;;;;x
city_barony_of_terran_imperial;Free Planet of;;;;;;;;;;;;;x
city_barony_terran_imperial;Free Planet;;;;;;;;;;;;;x
city_baronies_terran_imperial;Free Planets;;;;;;;;;;;;;x
city_baron_deed_terran_imperial;Magistracy of;;;;;;;;;;;;;x
emperor_neo_feudal;High King;;;;;;;;;;;;;x
emperor_neo_feudal_female;High Queen;;;;;;;;;;;;;x
emperor_neo_feudal_foa;Your Majesty;;;;;;;;;;;;;x
emperor_neo_feudal_foa_female;Your Majesty;;;;;;;;;;;;;x
emperor_neo_feudal_title_ruler_consort;King Consort;;;;;;;;;;;;;x
emperor_neo_feudal_title_ruler_consort_female;Queen Consort;;;;;;;;;;;;;x
empire_of_neo_feudal;High Kingdom of;;;;;;;;;;;;;x
empire_neo_feudal;High Kingdom;;;;;;;;;;;;;x
empires_neo_feudal;High Kingdoms;;;;;;;;;;;;;x
emperor_deed_neo_feudal;Throne of;;;;;;;;;;;;;x
king_neo_feudal;King;;;;;;;;;;;;;x
king_neo_feudal_female;Queen;;;;;;;;;;;;;x
king_neo_feudal_foa;Your Majesty;;;;;;;;;;;;;x
king_neo_feudal_foa_female;Your Majesty;;;;;;;;;;;;;x
king_neo_feudal_title_ruler_consort;King Consort;;;;;;;;;;;;;x
king_neo_feudal_title_ruler_consort_female;Queen Consort;;;;;;;;;;;;;x
kingdom_of_neo_feudal;Star Kingdom of;;;;;;;;;;;;;x
kingdom_neo_feudal;Kingdom;;;;;;;;;;;;;x
kingdoms_neo_feudal;Kingdoms;;;;;;;;;;;;;x
king_deed_neo_feudal;Throne of;;;;;;;;;;;;;x
duke_neo_feudal;Duke;;;;;;;;;;;;;x
duke_neo_feudal_female;Duchess;;;;;;;;;;;;;x
duke_neo_feudal_foa;Your Grace;;;;;;;;;;;;;x
duke_neo_feudal_foa_female;Your Grace;;;;;;;;;;;;;x
duke_neo_feudal_title_ruler_consort;Duke Consort;;;;;;;;;;;;;x
duke_neo_feudal_title_ruler_consort_female;Duchess Consort;;;;;;;;;;;;;x
duchy_of_neo_feudal;Duchy of;;;;;;;;;;;;;x
duchy_neo_feudal;Duchy;;;;;;;;;;;;;x
duchies_neo_feudal;Duchies;;;;;;;;;;;;;x
duke_deed_neo_feudal;Throne of;;;;;;;;;;;;;x
count_neo_feudal;Count;;;;;;;;;;;;;x
count_neo_feudal_female;Countess;;;;;;;;;;;;;x
count_neo_feudal_foa;My Lord;;;;;;;;;;;;;x
count_neo_feudal_foa_female;My Lady;;;;;;;;;;;;;x
count_neo_feudal_title_ruler_consort;Count Consort;;;;;;;;;;;;;x
count_neo_feudal_title_ruler_consort_female;Countess Consort;;;;;;;;;;;;;x
county_of_neo_feudal;Star System;;;;;;;;;;;;;x
county_neo_feudal;System;;;;;;;;;;;;;x
counties_neo_feudal;Systems;;;;;;;;;;;;;x
baron_neo_feudal;Baron;;;;;;;;;;;;;x
baron_neo_feudal_female;Baroness;;;;;;;;;;;;;x
baron_neo_feudal_foa;My Lord;;;;;;;;;;;;;x
baron_neo_feudal_foa_female;My Lady;;;;;;;;;;;;;x
baron_neo_feudal_title_ruler_consort;Baron Consort;;;;;;;;;;;;;x
baron_neo_feudal_title_ruler_consort_female;Baroness Consort;;;;;;;;;;;;;x
barony_of_neo_feudal;Planet;;;;;;;;;;;;;x
barony_neo_feudal;Planet;;;;;;;;;;;;;x
baronies_neo_feudal;Planets;;;;;;;;;;;;;x
count_deed_neo_feudal;Throne of;;;;;;;;;;;;;x
temple_count_religious_group;Abbot;;;;;;;;;;;;;x
temple_count_female_religious_group;Abbess;;;;;;;;;;;;;x
temple_count_foa_religious_group;Father;;;;;;;;;;;;;x
temple_count_foa_female_religious_group;Mother;;;;;;;;;;;;;x
temple_count_title_ruler_consort_religious_group;Abbess's Husband;;;;;;;;;;;;;x
temple_count_title_ruler_consort_female_religious_group;Abbot's Wife;;;;;;;;;;;;;x
temple_baron_religious_group;Abbot;;;;;;;;;;;;;x
temple_baron_female_religious_group;Abbess;;;;;;;;;;;;;x
temple_baron_foa_religious_group;Father;;;;;;;;;;;;;x
temple_baron_foa_female_religious_group;Mother;;;;;;;;;;;;;x
temple_baron_title_ruler_consort_religious_group;Abbess's Husband;;;;;;;;;;;;;x
temple_baron_title_ruler_consort_female_religious_group;Abbot's Wife;;;;;;;;;;;;;x
temple_barony_of_religious_group;Shrine World;;;;;;;;;;;;;x
temple_barony_religious_group;Shrine World;;;;;;;;;;;;;x
temple_baronies_religious_group;Shrine Worlds;;;;;;;;;;;;;x
castle_emperor_space_pirate;Shadow Emperor;;;;;;;;;;;;;x
castle_emperor_space_pirate_female;Shadow Empress;;;;;;;;;;;;;x
castle_empire_of_space_pirate;Shadow Empire of;;;;;;;;;;;;;x
castle_empires_space_pirate;Empires;;;;;;;;;;;;;x
castle_empire_space_pirate;Empire;;;;;;;;;;;;;x
castle_king_space_pirate;Pirate King;;;;;;;;;;;;;x
castle_king_space_pirate_female;Pirate Queen;;;;;;;;;;;;;x
castle_king_title_ruler_consort_space_pirate;Pirate Consort;;;;;;;;;;;;;x
castle_king_title_ruler_consort_space_pirate_female;Pirate Consort;;;;;;;;;;;;;x
castle_kingdom_of_space_pirate;Pirate Kingdom;;;;;;;;;;;;;x
castle_kingdoms_space_pirate;Pirate Kingdoms;;;;;;;;;;;;;x
castle_kingdom_space_pirate;Pirate Kingdom;;;;;;;;;;;;;x
castle_king_deed_space_pirate;Control of;;;;;;;;;;;;;x
castle_duke_space_pirate;Pirate Overlord;;;;;;;;;;;;;x
castle_duke_space_pirate_female;Pirate Overlord;;;;;;;;;;;;;x
castle_duke_deed_space_pirate;Control of;;;;;;;;;;;;;x
castle_count_space_pirate;Pirate Lord;;;;;;;;;;;;;x
castle_count_space_pirate_female;Pirate Lady;;;;;;;;;;;;;x
job_chancellor;Secretary of State;Secrétaire de l'état;;;;;;;;;;;;x;
job_marshal;Secretary of Defense;Secrétaire de la défense;;;;;;;;;;;;x;
job_treasurer;Secretary of the Treasury;Secrétaire du budget;;;;;;;;;;;;x;
job_spymaster;Secretary of Intelligence;Secrétaire du renseignement;;;;;;;;;;;;x;
job_scientist;Secretary of Technology;Secrétaire de la recherche;;;;;;;;;;;;x;
job_spiritual;Secretary of Justice;Secrétaire de la justice;;;;;;;;;;;;x;
job_chancellor_terran_imperial;Minister of State;Ministre de l'état;;;;;;;;;;;;x;
job_marshal_terran_imperial;Minister of War;Ministre de la défense;;;;;;;;;;;;x;
job_treasurer_terran_imperial;Minister of the Treasury;Ministre du budget;;;;;;;;;;;;x;
job_spymaster_terran_imperial;Minister of Intelligence;Ministre du renseignement;;;;;;;;;;;;x
job_scientist_terran_imperial;Minister of Technology;Ministre de la recherche;;;;;;;;;;;;x
job_spiritual_terran_imperial;Minister of Justice;Ministre de la justice;;;;;;;;;;;;x
job_chancellor_neo_feudal;Chancellor;Chancellier;;;;;;;;;;;;x
job_marshal_neo_feudal;Marshal;Maréchal;;;;;;;;;;;;x
job_treasurer_neo_feudal;Steward;Intendant;;;;;;;;;;;;x
job_spymaster_neo_feudal;Spymaster;Maître espion;;;;;;;;;;;;x
job_scientist_neo_feudal;Minister of Technology;Savant;;;;;;;;;;;;x
job_spiritual_neo_feudal;Justiciar;Justicier;;;;;;;;;;;;x
GRANDADMIRAL;Grand Admiral;Grand amiral;;;;;;;;;;;;x
GRANDADMIRALFOA;Admiral;Amiral;;;;;;;;;;;;x
FLEETADMIRAL;Fleet Admiral;Amiral de flotte;;;;;;;;;;;;x
FLEETADMIRALFOA;Admiral;Amiral;;;;;;;;;;;;x
