#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_CRISIS_OF_THE_CONFEDERATION;Crisis of the Confederation;Crise de la Confédération;;;;;;;;;;;;x
EVTDESCCLONE3;Word from the laboratory has arrived, informing you that your clone has finished the early gestation period and has now been decanted. Soon, you find yourself at the laboratory, holding your newly-grown son in your arms.;Une note du laboratoire vient d'arriver, ils vous informent que votre clône a terminé la première phase de son développement et doit maintenant être affiné. Trés rapidement, vous vous retrouvez devant le laboratoire, votre fils cloné dans vos bras.;;;;;;;;;;;;x
EVTOPTACLONE3;What a wonderful baby boy.;Quel merveilleux petit homme!;;;;;;;;;;;;x
EVTDESCCLONE4;Word from the laboratory has arrived, informing you that your clone has finished the early gestation period and has now been decanted. Soon, you find yourself at the laboratory, holding your newly-grown daughter in your arms.;Une note du laboratoire vient d'arriver, ils vous informent que votre clône a terminé la première phase de son développement et doit maintenant être affiné. Trés rapidement, vous vous retrouvez devant le laboratoire, votre fille clonée dans vos bras.;;;;;;;;;;;;x
EVTOPTACLONE4;What a wonderful baby girl.;Quelle merveilleuse petite princesse!;;;;;;;;;;;;x
EVTOPTBCLONE4;What a wonderful baby girl.;Quelle merveilleuse petite princesse!;;;;;;;;;;;;x
EVTDESCCLONE5;A prominent geneticist from the [From.GetName] System contacts you with important information. Apparently, [FromFrom.GetFullName] commissioned a clone from the laboratory approximately nine months ago, and the clone has now been decanted. As the laboratory is now under your jurisdiction, it falls to you to decide the infant's fate.;Un généticien renommé du système [From.GetName] vous a contacté pour vous communiquer une importante information. Apparement, [FromFrom.GetFullName] a commandé un clône au laboratoire il y a environ neuf mois, et son développement est désormais terminé. Dans la mesure où ce laboratoire est maintenant sous votre juridiction, c'est à vous qu'il revient de statuer sur le sort de l'enfant.;;;;;;;;;;;;x
EVTOPTACLONE5;Have him returned to his father.;Le renvoyer à son père.;;;;;;;;;;;;x
EVTOPTBCLONE5;Make sure the boy never leaves [From.GetName].;S'assurer que l'enfant ne quitte jamais [From.GetName].;;;;;;;;;;;;x
EVTDESCCLONE6;A prominent geneticist from the [From.GetName] System contacts you with important information. Apparently, [FromFrom.GetFullName] commissioned a clone from the laboratory approximately nine months ago, and the clone has now been decanted. As the laboratory is now under your jurisdiction, it falls to you to decide the infant's fate.;Un généticien renommé du système [From.GetName] vous a contacté pour vous communiquer une importante information. Apparement, [FromFrom.GetFullName] a commandé un clône au laboratoire il y a environ neuf mois, et son développement est désormais terminé. Dans la mesure où ce laboratoire est maintenant sous votre juridiction, c'est à vous qu'il revient de statuer sur le sort de l'enfant.;;;;;;;;;;;;x
EVTOPTACLONE6;Have her returned to her mother.;La renvoyer à sa mère.;;;;;;;;;;;;x
EVTOPTBCLONE6;Make sure the girl never leaves [From.GetName].;S'assurer que la fille ne quitte jamais [From.GetName].;;;;;;;;;;;;x
EVTOPTCCLONE6;Have her returned to her mother.;La renvoyer à sa mère.;;;;;;;;;;;;x
EVTOPTDCLONE6;Make sure the girl never leaves [From.GetName].;S'assurer que la fille ne quitte jamais [From.GetName].;;;;;;;;;;;;x
