#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

amateurish_plotter;Amateurish Plotter;Comploteur amateur;Dilettantischer Verschwörer;;Complotador amateur;;;;;;;;;x
thrifty_clerk_desc;The Thrifty Clerk is a dutiful, if not particularly skilled, administrator.;Ce personnage est un administrateur consciencieux, mais pas particulièrement brillant.;Der geizige Kaufmann ist ein pflichtbewusster, aber nicht besonders fähiger Verwalter.;;El auxiliar ahorrativo, no solo es un administrador responsable, sino que es particularmente hábil en su trabajo.;;;;;;;;;x
fortune_builder;Fortune Builder;Bâtisseur de fortunes;Karrierekaufmann ;;Creador de fortuna;;;;;;;;;x
fortune_builder_desc;The Fortune Builder came out of adolescence armed with a well honed business sense, determined to live a life of luxury.;Ce personnage a reçu une éducation axée sur l’administration. Il est doué pour les affaires et pour faire fortune.;Der Karrierekaufmann wuchs mit einem feingeschliffenen Geschäftssinn auf und ist entschlossen, ein luxuriöses Leben zu führen.;;El creador de fortuna despertó de la adolescencia con un buen olfato para los negocios, determinado a vivir una vida de lujos.;;;;;;;;;x
midas_touched;Midas Touched;Faiseur d’or;Goldvermehrer;;Tocado por Midas;;;;;;;;;x
midas_touched_desc;This character is truly Midas Touched, never seeming to run out of funds - an excellent choice for Steward and mentor to children destined to become administrators.;Ce personnage est un maître de l’administration, très doué pour gérer les biens. Il fait un excellent Intendant et peut enseigner l’administration.;Diesen Charakter scheint niemals das Geld auszugehen, was ihn zu einem hervorragenden Verwalter macht. Auch als Vormund für Kinder, die Verwalter werden sollen, gibt er eine gute Figur ab.;;Es como si Midas hubiera tocado realmente a este personaje, parece que nunca le faltara el dinero.;;;;;;;;;x
misguided_warrior;Misguided Warrior;Guerrier malavisé;Törichter Krieger;;Guerrero descarriado;;;;;;;;;x
misguided_warrior_desc;The Misguided Warrior was trained in warfare and the martial arts, but sadly lacks all talent for it.;Ce personnage a reçu une éducation axée sur la compétence martiale, mais ne semble pas en avoir tiré d’enseignements.;Der törichte Krieger wurde in der Kriegsführung und den Kampfkünsten unterwiesen, aber leider fehlt ihm dafür jegliches Talent.;;El guerrero descarriado ha recibido formación para el combate y la guerra, pero carece del talento necesario.;;;;;;;;;x
tough_soldier;Tough Soldier;Soldat endurci;Zäher Soldat;;Soldado aguerrido;;;;;;;;;x
tough_soldier_desc;The Tough Soldier is fearsome on the battlefield, but only a mediocre commander.;Ce personnage est redoutable sur le champ de bataille, mais médiocre en tant que commandant.;Der zähe Soldat ist auf dem Schlachtfeld ein gefürchteter Gegner, dafür aber nur ein mittelmäßiger Befehlshaber.;;El soldado aguerrido es temible en el campo de batalla, aunque mediocre como comandante.;;;;;;;;;x
skilled_tactician;Skilled Tactician;Fin tacticien;Fähiger Taktiker;;Hábil estratega;;;;;;;;;x
skilled_tactician_desc;The Skilled Tactician is an adept in the art of war - a valiant warrior and reliable commander.;Ce personnage, adepte de l’art de la guerre, un courageux combattant doublé d’un commandant fiable.;Der fähige Taktiker versteht sich gut auf die Kunst des Krieges. Er ist ein kühner Krieger und zuverlässiger Befehlshaber.;;El hábil estratega es un adepto del arte de la guerra, valeroso guerrero y buen comandante.;;;;;;;;;x
brilliant_strategist;Brilliant Strategist;Brillant stratège;Brillanter Stratege;;Brillante estratega;;;;;;;;;x
brilliant_strategist_desc;The Brilliant Strategist has an almost preternatural understanding of all things martial, having the perfect makings for a Marshal or a military tutor.;Ce personnage a des prédispositions naturelles pour tout ce qui touche à la guerre et possède toutes les qualités pour devenir Maréchal ou enseigner les arts militaires.;Der brillante Stratege hat ein fast übernatürliches Verständnis für alle kriegerischen Dinge. Dies macht ihn zur perfekten Wahl für das Marschallsamt oder als Militärausbilder.;;El brillante estratega tiene un conocimiento casi sobrenatural sobre las artes de la guerra, tiene lo necesario para ser mariscal o tutor militar.;;;;;;;;;x
detached_priest;Incompetent Scientist;;;;;;;;;;;;;x
detached_priest_desc;The Incompetent Scientist has received a intellectual education but displays no talent beyond basic lab work.;;;;;;;;;;;;;x
martial_cleric;Dutiful Academic;;;;;;;;;;;;;x
martial_cleric_desc;The Dutiful Academic is learned and of keen mind, but lacks any particular interest in the sciences.;;;;;;;;;;;;;x
scholarly_theologian;Expert Scientist;;;;;;;;;;;;;x
scholarly_theologian_desc;The Expert Scientist is wise and well educated, with a deep understanding of the physical and natural sciences.;;;;;;;;;;;;;x
mastermind_theologian;Mastermind Scholar;;;;;;;;;;;;;x
mastermind_theologian_desc;The Mastermind Scholar is well educated in nearly every subject, a paramount member of the scientific community. ;;;;;;;;;;;;;x
